,STATE CODE,COUNTY CODE,COUNTY NAME,SDLEA,NAME,LEAID,CDSCODE
0,06,001,Alameda,00019,Dublin Unified School District,0600019,01750930000000
1,06,001,Alameda,00020,Pleasanton Unified School District,0600020,01751010000000
2,06,001,Alameda,00021,Sunol Glen Unified School District,0600021,01751190000000
3,06,001,Alameda,01770,Alameda City Unified School District,0601770,01611190000000
4,06,001,Alameda,01860,Albany City Unified School District,0601860,01611270000000
5,06,001,Alameda,04740,Berkeley Unified School District,0604740,01611430000000
7,06,001,Alameda,07800,Castro Valley Unified School District,0607800,01611500000000
8,06,001,Alameda,12630,Emery Unified School District,0612630,01611680000000
9,06,001,Alameda,14400,Fremont Unified School District,0614400,01611760000000
10,06,001,Alameda,16740,Hayward Unified School District,0616740,01611920000000
11,06,001,Alameda,22110,Livermore Valley Joint Unified School District,0622110,01612000000000
12,06,001,Alameda,26130,Mountain House Elementary School District,0626130,01612180000000
13,06,001,Alameda,26910,New Haven Unified School District,0626910,01612420000000
14,06,001,Alameda,27060,Newark Unified School District,0627060,01612340000000
15,06,001,Alameda,28050,Oakland Unified School District,0628050,01612590000000
16,06,001,Alameda,30330,Piedmont City Unified School District,0630330,01612750000000
17,06,001,Alameda,34680,San Leandro Unified School District,0634680,01612910000000
18,06,001,Alameda,34710,San Lorenzo Unified School District,0634710,01613090000000
19,06,003,Alpine,02070,Alpine County Unified School District,0602070,02613330000000
20,06,005,Amador,02450,Amador County Unified School District,0602450,03739810000000
21,06,007,Butte,00051,Gridley Unified School District,0600051,04755070000000
22,06,007,Butte,03780,Bangor Union Elementary School District,0603780,04613820000000
23,06,007,Butte,05040,Biggs Unified School District,0605040,04614080000000
24,06,007,Butte,08370,Chico Unified School District,0608370,04614240000000
25,06,007,Butte,11730,Durham Unified School District,0611730,04614320000000
26,06,007,Butte,15480,Golden Feather Union Elementary School District,0615480,04614570000000
27,06,007,Butte,23700,Manzanita Elementary School District,0623700,04614990000000
28,06,007,Butte,24090,Marysville Joint Unified School District,0624090,58727360000000
29,06,007,Butte,29100,Oroville City Elementary School District,0629100,04615070000000
30,06,007,Butte,29130,Oroville Union High School District,0629130,04615150000000
31,06,007,Butte,29540,Palermo Union Elementary School District,0629540,04615230000000
32,06,007,Butte,29820,Paradise Unified School District,0629820,04615310000000
33,06,007,Butte,30520,Pioneer Union Elementary School District,0630520,04733790000000
34,06,007,Butte,39180,Thermalito Union School District,0639180,04615490000000
36,06,009,Calaveras,05940,Bret Harte Union High School District,0605940,05615560000000
37,06,009,Calaveras,06870,Calaveras Unified School District,0606870,05615640000000
38,06,009,Calaveras,23970,Mark Twain Union Elementary School District,0623970,05615720000000
39,06,009,Calaveras,40680,Vallecito Union Elementary School District,0640680,05615800000000
40,06,011,Colusa,09570,Colusa Unified School District,0609570,06615980000000
41,06,011,Colusa,24150,Maxwell Unified School District,0624150,06616060000000
42,06,011,Colusa,30360,Pierce Joint Unified School District,0630360,06616140000000
43,06,011,Colusa,31620,Princeton Joint Unified School District,0631620,11626460000000
44,06,011,Colusa,38070,Stony Creek Joint Unified School District,0638070,11626530000000
45,06,011,Colusa,42540,Williams Unified School District,0642540,06616220000000
46,06,013,Contra Costa,01650,Acalanes Union High School District,0601650,07616300000000
47,06,013,Contra Costa,02850,Antioch Unified School District,0602850,07616480000000
48,06,013,Contra Costa,05910,Brentwood Union Elementary School District,0605910,07616550000000
49,06,013,Contra Costa,06750,Byron Union Elementary School District,0606750,07616630000000
50,06,013,Contra Costa,07350,Canyon Elementary School District,0607350,07616710000000
51,06,013,Contra Costa,18990,John Swett Unified School District,0618990,07616970000000
52,06,013,Contra Costa,20040,Knightsen Elementary School District,0620040,07617050000000
53,06,013,Contra Costa,20310,Lafayette Elementary School District,0620310,07617130000000
54,06,013,Contra Costa,21600,Liberty Union High School District,0621600,07617210000000
